recipe_id,ingredient_number,ingredient_name,quantity
RCP00001,1,Chicken,750 g
RCP00001,2,Tomato,500 g
RCP00001,3,Yogurt,100 g
RCP00001,4,Ginger,1 tbsp
RCP00001,5,Garlic,1 tbsp
RCP00001,6,Chilli Pepper,4 piece
RCP00001,7,Chilli Pepper powder,1 tsp
RCP00001,8,Cumin,1 tsp
RCP00001,9,Coriander powder,1 tsp
RCP00001,10,Salt,1 tsp
RCP00001,11,Oil,5 tbsp
RCP00001,12,Fresh coriander ,2 tbsp
RCP00002,1,Chicken,750 g
RCP00002,2,Yogurt,200 g
RCP00002,3,Tomato,250 g
RCP00002,4,Cream,100 ml
RCP00002,5,Onion,1 medium
RCP00002,6,Garlic,2 tbsp
RCP00002,7,Ginger,2 tbsp
RCP00002,8,Chilli Pepper powder,1 tsp
RCP00002,9,Turmeric,½ tsp
RCP00002,10,Garam masala,1 tsp
RCP00002,10,Salt,1 tsp
RCP00002,11,Oil,4 tbsp
RCP00003,1,Chicken,750 g
RCP00003,2,Rice,500 g
RCP00003,3,Onion,3 piece
RCP00003,4,Tomato,3 piece
RCP00003,5,Yogurt,200 g
RCP00003,6,Potato,2 piece
RCP00003,7,Garlic,2 tbsp
RCP00003,8,Ginger,2 tbsp
RCP00003,9,Biryani masala,2 tbsp
RCP00003,10,Chilli Pepper,4 piece
RCP00003,11,Mint,½ cup
RCP00003,12,Coriander,½ cup
RCP00003,13,Oil,150 ml
RCP00003,13,Salt,to taste
RCP00004,1,Chicken,750 g
RCP00004,2,Yogurt,250 g
RCP00004,3,Onion,3 piece
RCP00004,4,Ginger,2 tbsp
RCP00004,5,Garlic,2 tbsp
RCP00004,6,Almonds,2 tbsp
RCP00004,7,Cashews,2 tbsp
RCP00004,8,Chilli Pepper,1 tsp
RCP00004,9,Coriander powder,1 tsp
RCP00004,10,Garam masala,1 tsp
RCP00004,11,Oil,100 ml
RCP00004,12,Salt,to taste
RCP00005,1,Chicken,500 g
RCP00005,2,Capsicum,2 piece
RCP00005,3,Tomato,3 piece
RCP00005,4,Onion,1 piece
RCP00005,5,Carrot,1 piece
RCP00005,6,Chilli Pepper,2 piece
RCP00005,7,Ginger,1 tbsp
RCP00005,8,Garlic,1 tbsp
RCP00005,9,Chilli Pepper powder,1 tsp
RCP00005,10,Black pepper,½ tsp
RCP00005,11,Soy sauce,1 tbsp
RCP00005,12,Oil,3 tbsp
RCP00005,13,Salt,to taste
RCP00006,1,Chicken,750 g
RCP00006,2,Tomato,400 g
RCP00006,3,Butter,50 g
RCP00006,4,Cream,150 ml
RCP00006,5,Yogurt,100 g
RCP00006,6,Ginger,1 tbsp
RCP00006,7,Garlic,1 tbsp
RCP00006,8,Chilli Pepper,1 tsp
RCP00006,9,Garam masala,½ tsp
RCP00006,10,Sugar,1 tsp
RCP00006,11,Salt,to taste
RCP00007,1,Chicken,600 g
RCP00007,2,Spinach,500 g
RCP00007,3,Onion,1 piece
RCP00007,4,Tomato,2 piece
RCP00007,5,Ginger,1 tbsp
RCP00007,6,Garlic,1 tbsp
RCP00007,7,Chilli Pepper,2 piece
RCP00007,8,Chilli Pepper,1 tsp
RCP00007,9,Turmeric,½ tsp
RCP00007,10,Oil,4 tbsp
RCP00007,11,Salt,to taste
RCP00008,1,Chicken,750 g
RCP00008,2,Yogurt,150 g
RCP00008,3,Lemon,2 tbsp
RCP00008,4,Garlic,1 tbsp
RCP00008,5,Ginger,1 tbsp
RCP00008,6,Tikka masala,2 tbsp
RCP00008,7,Chilli Pepper,1 tsp
RCP00008,8,Oil,2 tbsp
RCP00008,9,Salt,to taste
RCP00009,1,Chicken,500 g
RCP00009,2,Rice,500 g
RCP00009,3,Onion,2 piece
RCP00009,4,Yogurt,100 g
RCP00009,5,Ginger,1 tbsp
RCP00009,6,Garlic,1 tbsp
RCP00009,7,Cumin,1 tsp
RCP00009,8,Black pepper,1 tsp
RCP00009,9,Cinnamon,1 stick
RCP00009,10,Cardamom,3 piece
RCP00009,11,Salt,to taste
RCP00009,12,Oil,5 tbsp
RCP00010,1,Rice,500 g
RCP00010,2,Chicken,500 g
RCP00010,3,Onion,2 piece
RCP00010,4,Ginger,1 tbsp
RCP00010,5,Garlic,1 tbsp
RCP00010,6,Cumin,1 tsp
RCP00010,7,Cinnamon,1 stick
RCP00010,8,Cardamom,4 piece
RCP00010,9,Black pepper,8 piece
RCP00010,10,Salt,to taste
RCP00011,1,Rice,500 g
RCP00011,2,Carrot,1 piece
RCP00011,3,Potato,1 piece
RCP00011,4,Corn,1 cup
RCP00011,5,Peas,1 cup
RCP00011,6,Onion,1 piece
RCP00011,7,Cumin,1 tsp
RCP00011,8,Whole spices,1 tsp
RCP00011,9,Oil,4 tbsp
RCP00011,10,Salt,to taste
RCP00012,1,Chicken,750 g
RCP00012,2,Rice,500 g
RCP00012,3,Potato,2 piece
RCP00012,4,Tomato,3 piece
RCP00012,5,Yogurt,200 g
RCP00012,6,Onion,3 piece
RCP00012,7,Biryani masala,2 tbsp
RCP00012,8,Chilli Pepper,4 piece
RCP00012,9,Mint,½ cup
RCP00012,10,Coriander,½ cup
RCP00012,11,Oil,150 ml
RCP00012,12,Salt,to taste
RCP00013,1,Rice,500 g
RCP00013,2,Cumin seeds,2 tbsp
RCP00013,3,Butter,2 tbsp
RCP00013,4,Oil,1 tbsp
RCP00013,5,Salt,1 tsp
RCP00013,6,Water,as required
RCP00014,1,Rice,500 g
RCP00014,2,Tomato,2 piece
RCP00014,3,Onion,1 piece
RCP00014,4,Carrot,1 piece
RCP00014,5,Capsicum,1 piece
RCP00014,6,Corn,½ cup
RCP00014,7,Chilli Pepper,1 tsp
RCP00014,8,Garam masala,½ tsp
RCP00014,9,Oil,3 tbsp
RCP00014,10,Salt,to taste
RCP00015,1,okra,500 g
RCP00015,2,Tomato,3 piece
RCP00015,3,Onion,1 piece
RCP00015,4,Ginger,1 tbsp
RCP00015,5,Garlic,1 tbsp
RCP00015,6,Chilli Pepper,1 tsp
RCP00015,7,Turmeric,½ tsp
RCP00015,8,Coriander powder,1 tsp
RCP00015,9,Oil,4 tbsp
RCP00015,10,Salt,to taste
RCP00016,1,okra,500 g
RCP00016,2,Onion,3 piece
RCP00016,3,Tomato,2 piece
RCP00016,4,Yogurt,100 g
RCP00016,5,Ginger,1 tbsp
RCP00016,6,Garlic,1 tbsp
RCP00016,7,Chilli Pepper,1 tsp
RCP00016,8,Cumin,1 tsp
RCP00016,9,Oil,4 tbsp
RCP00016,10,Salt,to taste
RCP00017,1,okra,500 g
RCP00017,2,Flour,½ cup
RCP00017,3,Rice,2 tbsp
RCP00017,4,Chilli Pepper,1 tsp
RCP00017,5,Chaat masala,1 tsp
RCP00017,6,Turmeric, ½ tsp
RCP00017,7,Salt,to taste
RCP00017,8,Oil,for frying
RCP00018,1,Potato,3 piece
RCP00018,2,Cauliflower,500 g
RCP00018,3,Tomato,2 piece
RCP00018,4,Onion,1 piece
RCP00018,5,Ginger,1 tbsp
RCP00018,6,Garlic,1 tbsp
RCP00018,7,Turmeric,½ tsp
RCP00018,8,Chilli Pepper,1 tsp
RCP00018,9,Coriander,1 tsp
RCP00018,10,Oil,4 tbsp
RCP00018,11,Salt,to taste
RCP00019,1,Carrot,1 piece
RCP00019,2,Potato,2 piece
RCP00019,3,Cauliflower,200 g
RCP00019,4,Corn,½ cup
RCP00019,5,Peas,½ cup
RCP00019,6,Capsicum,1 piece
RCP00019,7,Onion,1 piece
RCP00019,8,Tomato,2 piece
RCP00019,9,Spices,to taste
RCP00019,10,Oil,4 tbsp
RCP00020,1,Potato,3 piece
RCP00020,2,Capsicum,3 piece
RCP00020,3,Onion,1 piece
