recipe_id,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
RCP00001,520,32,58,16,4,3,650,75,15,12,8,18
RCP00002,480,42,61,20,7,3,670,110,60,74,25,36
RCP00003,300,15,25,10,3,2,400,20,15,20,10,12
RCP00004,320,18,29,12,4,3,430,30,20,26,13,16
RCP00005,340,21,33,14,5,4,460,40,25,32,16,20
RCP00006,360,24,37,16,6,5,490,50,30,38,19,24
RCP00007,380,27,41,18,7,2,520,60,35,44,22,28
RCP00008,400,30,45,20,3,3,550,70,40,50,25,32
RCP00009,420,33,49,22,4,4,580,80,45,56,28,36
RCP00010,440,36,53,24,5,5,610,90,50,62,31,12
RCP00011,460,39,57,10,6,2,640,100,55,68,10,16
RCP00012,480,42,61,12,7,3,670,110,60,74,13,20
RCP00013,500,15,65,14,3,4,700,20,15,20,16,24
RCP00014,520,18,69,16,4,5,730,30,20,26,19,28
RCP00015,540,21,25,18,5,2,760,40,25,32,22,32
RCP00016,560,24,29,20,6,3,790,50,30,38,25,36
RCP00017,580,27,33,22,7,4,820,60,35,44,28,12
RCP00018,300,30,37,24,3,5,850,70,40,50,31,16
RCP00019,320,33,41,10,4,2,880,80,45,56,10,20
RCP00020,340,36,45,12,5,3,910,90,50,62,13,24
RCP00021,360,39,49,14,6,4,940,100,55,68,16,28
RCP00022,380,42,53,16,7,5,970,110,60,74,19,32
RCP00023,400,15,57,18,3,2,400,20,15,20,22,36
RCP00024,420,18,61,20,4,3,430,30,20,26,25,12
RCP00025,440,21,65,22,5,4,460,40,25,32,28,16
RCP00026,460,24,69,24,6,5,490,50,30,38,31,20
RCP00027,480,27,25,10,7,2,520,60,35,44,10,24
RCP00028,500,30,29,12,3,3,550,70,40,50,13,28
RCP00029,520,33,33,14,4,4,580,80,45,56,16,32
RCP00030,540,36,37,16,5,5,610,90,50,62,19,36
RCP00031,560,39,41,18,6,2,640,100,55,68,22,12
RCP00032,580,42,45,20,7,3,670,110,60,74,25,16
RCP00033,300,15,49,22,3,4,700,20,15,20,28,20
RCP00034,320,18,53,24,4,5,730,30,20,26,31,24
RCP00035,340,21,57,10,5,2,760,40,25,32,10,28
RCP00036,360,24,61,12,6,3,790,50,30,38,13,32
RCP00037,380,27,65,14,7,4,820,60,35,44,16,36
RCP00038,400,30,69,16,3,5,850,70,40,50,19,12
RCP00039,420,33,25,18,4,2,880,80,45,56,22,16
RCP00040,440,36,29,20,5,3,910,90,50,62,25,20
RCP00041,460,39,33,22,6,4,940,100,55,68,28,24
RCP00042,480,42,37,24,7,5,970,110,60,74,31,28
RCP00043,500,15,41,10,3,2,400,20,15,20,10,32
RCP00044,520,18,45,12,4,3,430,30,20,26,13,36
RCP00045,540,21,49,14,5,4,460,40,25,32,16,12
RCP00046,560,24,53,16,6,5,490,50,30,38,19,16
RCP00047,580,27,57,18,7,2,520,60,35,44,22,20
RCP00048,300,30,61,20,3,3,550,70,40,50,25,24
RCP00049,320,33,65,22,4,4,580,80,45,56,28,28
RCP00050,340,36,69,24,5,5,610,90,50,62,31,32
RCP00051,180,3,22,10,5,12,320,0,180,20,6,8
RCP00052,210,16,20,7,2,3,680,55,8,4,4,10
RCP00053,190,14,18,8,2,4,750,45,10,12,5,8
RCP00054,150,18,4,6,0,1,580,40,5,2,3,6
RCP00055,220,12,34,5,8,3,480,0,12,10,6,18
RCP00056,260,6,26,16,4,6,520,25,35,25,15,8
RCP00057,380,7,48,18,4,36,180,35,120,120,8,22
RCP00058,420,8,54,20,2,38,220,45,15,2,25,8
RCP00059,310,7,42,13,1,28,140,25,10,2,20,6
RCP00060,430,8,55,15,3,45,250,50,100,100,15,7
,,,,,,,,,,,,
,,,,,,,,,,,,
