رسیپی_آئی_ڈی,اجزاء_نمبر,جزو_کا_نام,مقدار
RCP00001,۱,چکن,۷۵۰ گرام
RCP00001,۲,ٹماٹر,۵۰۰ گرام
RCP00001,۳,دہی,۱۰۰ گرام
RCP00001,۴,ادرک,۱ کھانے کا چمچ
RCP00001,۵,لہسن,۱ کھانے کا چمچ
RCP00001,۶,ہری مرچ,۴ عدد
RCP00001,۷,سرخ مرچ پاؤڈر,۱ چائے کا چمچ
RCP00001,۸,زیرا,۱ چائے کا چمچ
RCP00001,۹,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00001,۱۰,نمک,۱ چائے کا چمچ
RCP00001,۱۱,تیل / آئل,۵ کھانے کا چمچ
RCP00001,۱۲,ہرا دھنیا,۲ کھانے کا چمچ
RCP00002,۱,چکن,۷۵۰ گرام
RCP00002,۲,دہی,۲۰۰ گرام
RCP00002,۳,ٹماٹر,۲۵۰ گرام
RCP00002,۴,کریم,۱۰۰ ملی لیٹر
RCP00002,۵,پیاز,۱ درمیانہ
RCP00002,۶,ادرک لہسن کا پیسٹ,۲ کھانے کا چمچ
RCP00002,۷,سرخ مرچ پاؤڈر,۱ چائے کا چمچ
RCP00002,۸,ہلدی,۱/۲ چائے کا چمچ
RCP00002,۹,گرم مصالحہ,۱ چائے کا چمچ
RCP00002,۱۰,نمک,۱ چائے کا چمچ
RCP00002,۱۱,تیل / آئل,۴ کھانے کا چمچ
RCP00003,۱,چکن,۷۵۰ گرام
RCP00003,۲,چاول,۵۰۰ گرام
RCP00003,۳,پیاز,۳ عدد
RCP00003,۴,ٹماٹر,۳ عدد
RCP00003,۵,دہی,۲۰۰ گرام
RCP00003,۶,آلو,۲ عدد
RCP00003,۷,ادرک لہسن کا پیسٹ,۲ کھانے کا چمچ
RCP00003,۸,بریانی مصالحہ,۲ کھانے کا چمچ
RCP00003,۹,ہری مرچ,۴ عدد
RCP00003,۱۰,پودینہ,۱/۲ کپ
RCP00003,۱۱,دھنیا,۱/۲ کپ
RCP00003,۱۲,تیل / آئل,۱۵۰ ملی لیٹر
RCP00003,۱۳,نمک,حسبِ ذائقہ
RCP00004,۱,چکن,۷۵۰ گرام
RCP00004,۲,دہی,۲۵۰ گرام
RCP00004,۳,پیاز,۳ عدد
RCP00004,۴,ادرک لہسن کا پیسٹ,۲ کھانے کا چمچ
RCP00004,۵,بادام,۲ کھانے کا چمچ
RCP00004,۶,کاجو,۲ کھانے کا چمچ
RCP00004,۷,ہری مرچ,۱ چائے کا چمچ
RCP00004,۸,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00004,۹,گرم مصالحہ,۱ چائے کا چمچ
RCP00004,۱۰,تیل / آئل,۱۰۰ ملی لیٹر
RCP00004,۱۱,نمک,حسبِ ذائقہ
RCP00005,۱,چکن,۵۰۰ گرام
RCP00005,۲,شملہ مرچ,۲ عدد
