رسیپی_آئی_ڈی,کیکریاں_(کیلوریز),پروٹین_(گرام),کاربوہائیڈریٹس_(گرام),فیٹ_(گرام),فائبر_(گرام),شوگر_(گرام),سوڈیم_(ملی_گرام),کولیسٹرول_(ملی_گرام),وٹامن_اے_(فیصد),وٹامن_سی_(فیصد),کیلشیم_(فیصد),آئرن_(فیصد)
RCP00001,۵۲۰,۳۲,۵۸,۱۶,۴,۳,۶۵۰,۷۵,۱۵,۱۲,۸,۱۸
RCP00002,۴۸۰,۴۲,۶۱,۲۰,۷,۳,۶۷۰,۱۱۰,۶۰,۷۴,۲۵,۳۶
RCP00003,۳۰۰,۱۵,۲۵,۱۰,۳,۲,۴۰۰,۲۰,۱۵,۲۰,۱۰,۱۲
RCP00004,۳۲۰,۱۸,۲۹,۱۲,۴,۳,۴۳۰,۳۰,۲۰,۲۶,۱۳,۱۶
RCP00005,۳۴۰,۲۱,۳۳,۱۴,۵,۴,۴۶۰,۴۰,۲۵,۳۲,۱۶,۲۰
RCP00006,۳۶۰,۲۴,۳۷,۱۶,۶,۵,۴۹۰,۵۰,۳۰,۳۸,۱۹,۲۴
RCP00007,۳۸۰,۲۷,۴۱,۱۸,۷,۲,۵۲۰,۶۰,۳۵,۴۴,۲۲,۲۸
RCP00008,۴۰۰,۳۰,۴۵,۲۰,۳,۳,۵۵۰,۷۰,۴۰,۵۰,۲۵,۳۲
RCP00009,۴۲۰,۳۳,۴۹,۲۲,۴,۴,۵۸۰,۸۰,۴۵,۵۶,۲۸,۳۶
RCP00010,۴۴۰,۳۶,۵۳,۲۴,۵,۵,۶۱۰,۹۰,۵۰,۶۲,۳۱,۱۲
RCP00011,۴۶۰,۳۹,۵۷,۱۰,۶,۲,۶۴۰,۱۰۰,۵۵,۶۸,۱۰,۱۶
RCP00012,۴۸۰,۴۲,۶۱,۱۲,۷,۳,۶۷۰,۱۱۰,۶۰,۷۴,۱۳,۲۰
RCP00013,۵۰۰,۱۵,۶۵,۱۴,۳,۴,۷۰۰,۲۰,۱۵,۲۰,۱۶,۲۴
RCP00014,۵۲۰,۱۸,۶۹,۱۶,۴,۵,۷۳۰,۳۰,۲۰,۲۶,۱۹,۲۸
RCP00015,۵۴۰,۲۱,۲۵,۱۸,۵,۲,۷۶۰,۴۰,۲۵,۳۲,۲۲,۳۲
RCP00016,۵۶۰,۲۴,۲۹,۲۰,۶,۳,۷۹۰,۵۰,۳۰,۳۸,۲۵,۳۶
RCP00017,۵۸۰,۲۷,۳۳,۲۲,۷,۴,۸۲۰,۶۰,۳۵,۴۴,۲۸,۱۲
RCP00018,۳۰۰,۳۰,۳۷,۲۴,۳,۵,۸۵۰,۷۰,۴۰,۵۰,۳۱,۱۶
RCP00019,۳۲۰,۳۳,۴۱,۱۰,۴,۲,۸۸۰,۸۰,۴۵,۵۶,۱۰,۲۰
RCP00020,۳۴۰,۳۶,۴۵,۱۲,۵,۳,۹۱۰,۹۰,۵۰,۶۲,۱۳,۲۴
RCP00021,۳۶۰,۳۹,۴۹,۱۴,۶,۴,۹۴۰,۱۰۰,۵۵,۶۸,۱۶,۲۸
RCP00022,۳۸۰,۴۲,۵۳,۱۶,۷,۵,۹۷۰,۱۱۰,۶۰,۷۴,۱۹,۳۲
RCP00023,۴۰۰,۱۵,۵۷,۱۸,۳,۲,۴۰۰,۲۰,۱۵,۲۰,۲۲,۳۶
RCP00024,۴۲۰,۱۸,۶۱,۲۰,۴,۳,۴۳۰,۳۰,۲۰,۲۶,۲۵,۱۲
RCP00025,۴۴۰,۲۱,۶۵,۲۲,۵,۴,۴۶۰,۴۰,۲۵,۳۲,۲۸,۱۶
RCP00026,۴۶۰,۲۴,۶۹,۲۴,۶,۵,۴۹۰,۵۰,۳۰,۳۸,۳۱,۲۰
RCP00027,۴۸۰,۲۷,۲۵,۱۰,۷,۲,۵۲۰,۶۰,۳۵,۴۴,۱۰,۲۴
RCP00028,۵۰۰,۳۰,۲۹,۱۲,۳,۳,۵۵۰,۷۰,۴۰,۵۰,۱۳,۲۸
RCP00029,۵۲۰,۳۳,۳۳,۱۴,۴,۴,۵۸۰,۸۰,۴۵,۵۶,۱۶,۳۲
RCP00030,۵۴۰,۳۶,۳۷,۱۶,۵,۵,۶۱۰,۹۰,۵۰,۶۲,۱۹,۳۶
RCP00031,۵۶۰,۳۹,۴۱,۱۸,۶,۲,۶۴۰,۱۰۰,۵۵,۶۸,۲۲,۱۲
RCP00032,۵۸۰,۴۲,۴۵,۲۰,۷,۳,۶۷۰,۱۱۰,۶۰,۷۴,۲۵,۱۶
RCP00033,۳۰۰,۱۵,۴۹,۲۲,۳,۴,۷۰۰,۲۰,۱۵,۲۰,۲۸,۲۰
RCP00034,۳۲۰,۱۸,۵۳,۲۴,۴,۵,۷۳۰,۳۰,۲۰,۲۶,۳۱,۲۴
RCP00035,۳۴۰,۲۱,۵۷,۱۰,۵,۲,۷۶۰,۴۰,۲۵,۳۲,۱۰,۲۸
RCP00036,۳۶۰,۲۴,۶۱,۱۲,۶,۳,۷۹۰,۵۰,۳۰,۳۸,۱۳,۳۲
RCP00037,۳۸۰,۲۷,۶۵,۱۴,۷,۴,۸۲۰,۶۰,۳۵,۴۴,۱۶,۳۶
RCP00038,۴۰۰,۳۰,۶۹,۱۶,۳,۵,۸۵۰,۷۰,۴۰,۵۰,۱۹,۱۲
RCP00039,۴۲۰,۳۳,۲۵,۱۸,۴,۲,۸۸۰,۸۰,۴۵,۵۶,۲۲,۱۶
RCP00040,۴۴۰,۳۶,۲۹,۲۰,۵,۳,۹۱۰,۹۰,۵۰,۶۲,۲۵,۲۰
RCP00041,۴۶۰,۳۹,۳۳,۲۲,۶,۴,۹۴۰,۱۰۰,۵۵,۶۸,۲۸,۲۴
RCP00042,۴۸۰,۴۲,۳۷,۲۴,۷,۵,۹۷۰,۱۱۰,۶۰,۷۴,۳۱,۲۸
RCP00043,۵۰۰,۱۵,۴۱,۱۰,۳,۲,۴۰۰,۲۰,۱۵,۲۰,۱۰,۳۲
RCP00044,۵۲۰,۱۸,۴۵,۱۲,۴,۳,۴۳۰,۳۰,۲۰,۲۶,۱۳,۳۶
RCP00045,۵۴۰,۲۱,۴۹,۱۴,۵,۴,۴۶۰,۴۰,۲۵,۳۲,۱۶,۱۲
RCP00046,۵۶۰,۲۴,۵۳,۱۶,۶,۵,۴۹۰,۵۰,۳۰,۳۸,۱۹,۱۶
RCP00047,۵۸۰,۲۷,۵۷,۱۸,۷,۲,۵۲۰,۶۰,۳۵,۴۴,۲۲,۲۰
RCP00048,۳۰۰,۳۰,۶۱,۲۰,۳,۳,۵۵۰,۷۰,۴۰,۵۰,۲۵,۲۴
RCP00049,۳۲۰,۳۳,۶۵,۲۲,۴,۴,۵۸۰,۸۰,۴۵,۵۶,۲۸,۲۸
RCP00050,۳۴۰,۳۶,۶۹,۲۴,۵,۵,۶۱۰,۹۰,۵۰,۶۲,۳۱,۳۲
RCP00051,۱۸۰,۳,۲۲,۱۰,۵,۱۲,۳۲۰,۰,۱۸۰,۲۰,۶,۸
RCP00052,۲۱۰,۱۶,۲۰,۷,۲,۳,۶۸۰,۵۵,۸,۴,۴,۱۰
RCP00053,۱۹۰,۱۴,۱۸,۸,۲,۴,۷۵۰,۴۵,۱۰,۱۲,۵,۸
RCP00054,۱۵۰,۱۸,۴,۶,۰,۱,۵۸۰,۴۰,۵,۲,۳,۶
RCP00055,۲۲۰,۱۲,۳۴,۵,۸,۳,۴۸۰,۰,۱۲,۱۰,۶,۱۸
RCP00056,۲۶۰,۶,۲۶,۱۶,۴,۶,۵۲۰,۲۵,۳۵,۲۵,۱۵,۸
RCP00057,۳۸۰,۷,۴۸,۱۸,۴,۳۶,۱۸۰,۳۵,۱۲۰,۸,۲۲,۱۰
RCP00058,۴۲۰,۸,۵۴,۲۰,۲,۳۸,۲۲۰,۴۵,۱۵,۲,۲۵,۸
RCP00059,۳۱۰,۷,۴۲,۱۳,۱,۲۸,۱۴۰,۲۵,۱۰,۲,۲۰,۶
