رسیپی_آئی_ڈی,رسیپی_کا_نام,بنیادی_اجزاء,کی_ورڈز,ساتھ_پیش_کرنے_کی_اشیاء
RCP00001,چکن کڑاہی,مرغی / چکن,چکن، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، ہری مرچ، دھنیا,نان، روٹی، رائتہ، سلاد
RCP00002,چکن ہانڈی,مرغی / چکن,چکن، ککنگ آئل، کریم، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، دہی,نان، روٹی، رائتہ، سلاد
RCP00003,چکن بریانی,مرغی / چکن,چکن، باسمتی چاول، بریانی مصالحہ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، دہی,رائتہ، کچومر سلاد، کولڈ ڈرنک
RCP00004,چکن قورمہ,مرغی / چکن,چکن، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، دہی، بادام، کیوڑا واٹر,نان، شیرمال، تافتان، رائتہ
RCP00005,چکن جلفرِیزی,مرغی / چکن,چکن، شملہ مرچ، شملہ مرچ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، سویا ساس,چاول، نان، روٹی، سلاد
RCP00006,چکن مکھنی,مرغی / چکن,چکن، مکھن، کریم، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,نان، گارلک نان، روٹی، سلاد
RCP00007,چکن پالک,مرغی / چکن,چکن، پالک، پالک، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، نان، رائتہ، سلاد
RCP00008,چکن تکہ,مرغی / چکن,چکن، دہی، لیمن جوس، تکہ مصالحہ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، مصالحے,پراٹھا، نان، پودینہ چٹنی، سلاد
RCP00009,چکن پلاؤ,مرغی / چکن,چکن، باسمتی چاول، یخنی، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ثابت گرم مصالحہ,رائتہ، کچومر سلاد، شامی کباب
RCP00010,یخنی پلاؤ,مرغی / چکن,مٹن، بیف، چکن، باسمتی چاول، یخنی، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ثابت گرم مصالحہ,رائتہ، کچومر سلاد، شامی کباب
RCP00011,سبزی پلاؤ,سبزیاں,باسمتی چاول، مکس سبزیاں، گاجر، مٹر، آلو، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے,رائتہ، سلاد، آچار
RCP00012,سندھی بریانی,مرغی / چکن,چکن، باسمتی چاول، آلو، آلو بخارا، بریانی مصالحہ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، دہی,رائتہ، کچومر سلاد
RCP00013,زیرا رائس,چاول,باسمتی چاول، زیرا، زیرا، گھی، ککنگ آئل، مصالحے، نمک,دال، کری، چکن قورمہ، گریوی
RCP00014,مسالہ رائس,چاول,باسمتی چاول، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، ہری مرچ,رائتہ، سلاد، فرائی مچھلی، کباب
RCP00015,بھنڈی مسالہ,سبزیاں,بھنڈی، بھنڈی، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، ہری مرچ,روٹی، پراٹھا، رائتہ، سلاد
RCP00016,بھنڈی دو پیازہ,سبزیاں,بھنڈی، بھنڈی، پیاز، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، مصالحے، ٹماٹر، زیرا,روٹی، پراٹھا، رائتہ
RCP00017,کرسپی بھنڈی,سبزیاں,بھنڈی، بھنڈی، بیسن، بیسن، ککنگ آئل، مصالحے، چاٹ مصالحہ، لیمن جوس,روٹی، دال چاول، پودینہ چٹنی
RCP00018,آلو گوبھی,سبزیاں,آلو، آلو، گوبھی، گوبھی، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، دھنیا,روٹی، پراٹھا، رائتہ، آچار
RCP00019,مکس سبزی,سبزیاں,مکس سبزیاں، گاجر، مٹر، آلو، شملہ مرچ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، پراٹھا، پوری، رائتہ
RCP00020,آلو شملہ مرچ,سبزیاں,آلو، آلو، شملہ مرچ، شملہ مرچ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، پراٹھا، رائتہ
RCP00021,گاجر مٹر,سبزیاں,گاجر، gajar، مٹر، مٹر، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، پراٹھا، رائتہ
RCP00022,سبزی ہانڈی,سبزیاں,مکس سبزیاں، کریم، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، مکھن,نان، روٹی، سلاد
RCP00023,دال چنا,دال,چنا دال، چنا دال، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، تڑکا، زیرا، ہری مرچ,روٹی، چاول، آچار، سلاد
RCP00024,دال ماش,دال,ماش دال، سفید دال، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، تڑکا، مکھن,روٹی، نان، آچار، سلاد
RCP00025,دال مونگ,دال,مونگ دال، پیلی دال، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، تڑکا، زیرا,روٹی، چاول، آچار، سلاد
RCP00026,دال تڑکا,دال,پیلی دال، دال، گھی، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، تڑکا، زیرا، سرخ مرچ,چاول، روٹی، آچار، سلاد
RCP00027,دال پالک,دال,daal، دال، پالک، پالک، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، تڑکا,روٹی، چاول، آچار، سلاد
RCP00028,چنا مسالہ,چنے,چنے، چنے، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، ٹی بیگ، آمچور,پوری، بٹورا، روٹی، نان، سلاد
RCP00029,آلو چنا,چنے,آلو، آلو، چنے، چنے، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,پوری، روٹی، نان، رائتہ
RCP00030,چنا پلاؤ,چنے,چنے، چنے، باسمتی چاول، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ثابت گرم مصالحہ,رائتہ، سلاد، آچار
RCP00031,چنا کری,چنے,چنے، چنے، gravy، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، چاول، نان، سلاد
RCP00032,انڈا کری,انڈہ,ابلے انڈے، انڈہ، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، دھنیا,روٹی، چاول، پراٹھا، سلاد
RCP00033,انڈا مسالہ,انڈہ,انڈے، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، ہری مرچ,روٹی، پراٹھا، نان
RCP00034,پاکستانی اوملیٹ,انڈہ,انڈے، پیاز، ٹماٹر، ہری مرچ، دھنیا، مصالحے، نمک، تیل، مکھن,پراٹھا، بریڈ ٹوسٹ، چائے
RCP00035,شکشُوکہ,انڈہ,انڈے، ٹماٹر، شملہ مرچ، پیاز، لہسن، مصالحے، زیرا، زیتون کا تیل، دھنیا,کرسپی بریڈ، پیتا بریڈ، ٹوسٹ
RCP00036,آلو زیرا,سبزیاں,آلو، آلو، زیرا، زیرا، ککنگ آئل، مصالحے، ہلدی، دھنیا، ہری مرچ,روٹی، پوری، پراٹھا، رائتہ
RCP00037,آلو مسالہ,سبزیاں,آلو، آلو، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، ہلدی,روٹی، پوری، پراٹھا، رائتہ
RCP00038,آلو پالک,سبزیاں,آلو، آلو، پالک، پالک، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، پراٹھا، رائتہ
RCP00039,کرسپی مسالہ آلو,سبزیاں,آلو، آلو، کارن اسٹارچ، ککنگ آئل، مصالحے، چاٹ مصالحہ، لہسن پاؤڈر، کٹی ہوئی سرخ مرچ,کیچپ، پودینہ چٹنی، میو ڈیپ
